,pri_gene,symbol
0,CAVEOLIN1,CAV1
1,CKIT,KIT
2,CDK1PY15,CDK1
3,CONNEXIN43,GJA1
4,BETACATENIN,CTNNB1
5,FGFBASIC,FGF2
6,PKCABIIPT638T641,PRKCA
7,PKCABIIPT638T641,PRKCB
8,S6PS235S236,RPS6
9,S6PS240S244,RPS6
10,BACTIN,ACTB
11,ECADHERIN,CDH1
12,SYNAPTOPHYSIN,SYP
13,ANNEXIN1,ANXA1
14,P62LCKLIGAND,SQSTM1
15,EGFRPY1068,EGFR
16,MDM2PS166,MDM2
17,X4EBP1PS65,EIF4EBP1
18,SIRPALPHA,SIRPA
19,P70S6KPT389,RPS6KB1
20,CASPASE7CLEAVEDD198,CASP7
21,HSP27PS82,HSPB1
22,RAD17PS645,RAD17
23,GSK3PS9,GSK3A
24,GSK3PS9,GSK3B
25,LC3AB,MAP1LC3A
26,LC3AB,MAP1LC3B
27,MITOFUSIN2,MFN2
28,HER2PY1248,ERBB2
29,PLCGAMMA1PS1248,PLCG1
30,BETACATENINPS33S37T41,CTNNB1
31,AURORAB,AURKB
32,GLUTAMATED12,GLUD1
33,PKAA,PRKAR1A
34,P70S6K1,RPS6KB1
35,YAPPS127,YAP1
36,WEE1PS642,WEE1
37,VINCULIN,VCL
38,GYSPS641,GYS1
39,BCLXL,BCL2L1
40,STAT5ALPHA,STAT5A
41,PI3KP85,PIK3R1
42,X4EBP1,EIF4EBP1
43,PKCALPHAPS657,PRKCA
44,P14ARFBETA300340A,CDKN2A
45,ULK1PS757,ULK1
46,RICTORPT1135,RICTOR
47,FOLLICULIN,FLCN
48,JNKPT183Y185,MAPK8
49,GSK3ALPHABETAPS21S9,GSK3A
50,GSK3ALPHABETAPS21S9,GSK3B
51,EPHA2PY588,EPHA2
52,P27PT198,CDKN1B
53,GLUCOCORTICOIDRECEPTOR,NR3C1
54,X4EBP1PT37T46,EIF4EBP1
55,CREBPS133,CREB1
56,P38PT180Y182,MAPK11
57,P38PT180Y182,MAPK13
58,P38PT180Y182,MAPK12
59,P38PT180Y182,MAPK14
60,GLUTAMINASE,GLS
61,P90RSKPT573,RPS6KA1
62,PAXILLIN,PXN
63,MEK1PS217S221,MAP2K1
64,MEK1PS217S221,MAP2K2
65,STAT3PY705,STAT3
66,SHCPY317,SHC1
67,RBPS807S811,RB1
68,ARAFPS299,ARAF
69,NCADHERIN,CDH2
70,SHP2PY542,PTPN11
71,YB1PS102,YBX1
72,AURORAABCPT288PT232PT198,AURKA
73,AURORAABCPT288PT232PT198,AURKB
74,AURORAABCPT288PT232PT198,AURKC
75,UHISTONEH2B,H2BC3
76,CYCLINB1,CCNB1
77,BIPGRP78,HSPA5
78,RSK123,RPS6KA1
79,RSK123,RPS6KA2
80,RSK123,RPS6KA3
81,AKTPT308,AKT1
82,AKTPT308,AKT2
83,AKTPT308,AKT3
84,CMYC,MYC
85,ACETYLATUBULINLYS40,TUBA1B
86,X4EBP1PT70,EIF4EBP1
87,MYOSINIIAPS1943,MYH9
88,LRP6PS1490,LRP6
89,HISTONEH3,H3C1
90,AMPKALPHAPT172,PRKAA1
91,AMPKALPHAPT172,PRKAA2
92,HLADQA1,HLA-DQA1
93,CYCLIND1,CCND1
94,ERALPHA,ESR1
95,CALNEXIN,CANX
96,HEXOKINASEI,HK1
97,HISTONEH2A,H2AC13
98,TEAD,TEAD1
99,TEAD,TEAD2
100,TEAD,TEAD3
101,TEAD,TEAD4
102,ACCPS79,ACACA
103,BCATENINPT41S45,CTNNB1
104,CLAUDIN7,CLDN7
105,MYOSINIIA,MYH9
106,X1433ZETA,YWHAZ
107,SRCPY527,SRC
108,SRCPY527,YES1
109,SRCPY527,FYN
110,SRCPY527,FGR
111,MAPKPT202Y204,MAPK1
112,MAPKPT202Y204,MAPK3
113,AKTPS473,AKT1
114,BAP1C4,BAP1
115,AMPKALPHA,PRKAA1
